CRUISE,date,area_2mg_l_km2,area_3mg_l_km2,area_4.8mg_l_km2,vol_2mg_l_km2,vol_3mg_l_km2,vol_4.8mg_l_km2
WQAUG91,1991-08,180,484,2236,0.16,3.87,80.19
WQAUG92,1992-08,0,496,1464,0,1.66,33.73
WQSEP93,1993-09,408,500,1444,3.58,8.22,70.24
WQAUG94,1994-08,748,1188,1764,9.5,34.27,93.95
WQAUG95,1995-08,332,896,1452,3.39,22.43,65.06
WQSEP96,1996-09,204,648,1716,2.56,9.7,73.66
HYJUL97,1997-07,88,108,592,0,0,12.77
WQSEP98,1998-09,172,468,1584,0.93,9.12,55.14
WQAUG99,1999-08,140,296,1348,2.18,4.83,62.05
HYJUL00,2000-07,148,404,1316,0.38,8.86,53.6
WQSEP01,2001-09,72,296,1236,0.35,7.3,50.82
WQAUG02,2002-08,172,328,1360,1.92,8.16,50.98
HYAUG03,2003-08,644,1012,1632,11.81,34.88,86.69
HYAUG04,2004-08,212,520,1460,2.69,13.44,57.34
HYAUG05,2005-05,244,544,1508,4.38,19.14,87.36
WQAUG06,2006-08,164,604,1492,2.85,13.95,72.9
WQAUG07,2007-08,84,564,1516,0.38,13.12,74.94
HYAUG08,2008-08,192,492,1800,2.82,25.22,80.35
HYAUG09,2009-08,76,500,1728,0.77,9.63,84.1
WQAUG10,2010-08,140,332,1240,0.9,5.12,61.22
HYAUG11,2011-08,112,440,1696,0.54,7.01,85.34
HYAUG12,2012-08,176,756,1520,1.95,14.14,72.03
HYAUG13,2013-08,104,240,1264,0.93,3.33,45.28
WQAUG14,2014-08,40,240,1056,0.13,1.73,30.08
HYAUG15,2015-08,0,116,1492,0,1.12,52.64
HYAUG16,2016-08,124,524,1396,1.02,8.45,70.62
HYJUL17,2017-07,0,200,1392,0,0.58,53.15
WQSEP18,2018-09,0,132,1376,0,0.64,45.02
WQAUG19,2019-08,60,216,1200,1.28,3.9,51.68
