NPDES_ID,TMDL_zone
CT0000086,3
CT0100013,4
CT0101061,4
CT0100048,3
CT0100374,2
CT0100072,2
CT0100081,3
CT0100145,4
CTL100161,4
CT0100170,2
CT0100196,2
CT0100200,2
CT0101044,5
CT0100218,2
CTL100226,2
CT0100234,6
CT0101184,1
CTL100242,1
CT0100251,2
CT0101133?,4
CT0100269,1
CT0101257,1
CT0101681,1
CT0100803,4
CT0100293?,2
CT0100307,2
CT0100315,3
CTL0100749,4
CT0101656,4
CT0100935,1
CT0100641,4
CT0101273,6
CT0100331,2
CT0100366?,3
CT0100382,1
CT0100391,4
CT0101788,4
CT0101231,4
CT0100404,3
CTL101249,6
CT0100412,1
CT0100447,1
CT0100439,1
CT0100455,2
CT0100463,2
CTL101150,2
CT0100960,1
CT0100854,6
CT0100480,2
CT0100498,4
CT0100501,4
CT0100714,4
CT0100919,2
CT0100510,2
CT0100536,3
CT0100978,1
CT0101214,1
CT0101087,6
CT0101281,1
CT0100544,1
CTL101290,1
CTL101036,4
CT0100552,2
CT0100781,4
CT0100706,1
CTL100579,4
CT0101320,1
CT0100609,2
CT0100617,3
CTL100625,4
CTL101079,3
CT0100684,5
CT0101591,2
CT0100994,2
CT0101222,2
NY0026697,7
NY0026701,7
NY0026786,7
NY0026719,7
NY0109584,7
NY0026131,8
NY0026191,8
NY0026158,8
NY0026239,8
NY0026204,9
NY0027073,9
NY0026841,10
NY0026620,10
NY0026999,10
NY0022128,10
NY0021822,10
NY0026778,10
NY0020079,11E
NY0206644,11W
NY0021750,11W
NY0021342,11W
NY0023311,11W
NY0024881,11W
